unnamed:_0_level_0,total,total.1,total.2,total.3,total.4,without_cola,without_cola.1,without_cola.2,without_cola.3,without_cola.4,with_cola,with_cola.1,with_cola.2,with_cola.3,with_cola.4,page_source,section,extraction_date
Unnamed: 0_level_1,Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),,,
August 2024,5,21192,45.1,3.2,3.0,5,21192,45.1,3.2,3.0,,,,,,cola_month,All sectors,2025-10-21
September 2024,5,14010,31.8,5.7,4.4,4,11300,33.6,3.4,3.0,1,2710,24.1,15.3,9.9,cola_month,All sectors,2025-10-21
October 2024,8,45176,45.7,3.4,3.7,8,45176,45.7,3.4,3.7,,,,,,cola_month,All sectors,2025-10-21
November 2024,6,6894,38.1,3.7,3.4,6,6894,38.1,3.7,3.4,,,,,,cola_month,All sectors,2025-10-21
December 2024,15,125802,52.7,5.3,3.7,14,44129,39.1,4.1,3.8,1,81673,60.0,6.0,3.6,cola_month,All sectors,2025-10-21
January 2025,7,13702,57.6,5.3,3.3,7,13702,57.6,5.3,3.3,,,,,,cola_month,All sectors,2025-10-21
February 2025,8,15157,45.3,4.7,3.6,8,15157,45.3,4.7,3.6,,,,,,cola_month,All sectors,2025-10-21
March 2025,6,22135,47.7,3.1,3.3,6,22135,47.7,3.1,3.3,,,,,,cola_month,All sectors,2025-10-21
April 2025,13,172748,46.9,6.3,4.6,13,172748,46.9,6.3,4.6,,,,,,cola_month,All sectors,2025-10-21
May 2025,9,25184,45.1,3.1,3.0,9,25184,45.1,3.1,3.0,,,,,,cola_month,All sectors,2025-10-21
June 2025,4,4657,53.6,3.6,3.4,4,4657,53.6,3.6,3.4,,,,,,cola_month,All sectors,2025-10-21
July 2025,4,45658,48.4,7.4,2.1,4,45658,48.4,7.4,2.1,,,,,,cola_month,All sectors,2025-10-21
August 2024,2,2990,36.0,7.0,2.8,2,2990,36.0,7.0,2.8,,,,,,cola_month,Private sector,2025-10-21
September 2024,4,9010,29.4,6.9,5.1,3,6300,31.7,3.4,3.1,1,2710,24.1,15.3,9.9,cola_month,Private sector,2025-10-21
October 2024,2,7296,46.0,3.5,3.1,2,7296,46.0,3.5,3.1,,,,,,cola_month,Private sector,2025-10-21
November 2024,,,,,,,,,,,,,,,,cola_month,Private sector,2025-10-21
December 2024,7,13801,57.2,2.8,3.7,7,13801,57.2,2.8,3.7,,,,,,cola_month,Private sector,2025-10-21
January 2025,3,3916,58.0,3.6,3.2,3,3916,58.0,3.6,3.2,,,,,,cola_month,Private sector,2025-10-21
February 2025,4,5057,44.9,5.5,4.0,4,5057,44.9,5.5,4.0,,,,,,cola_month,Private sector,2025-10-21
March 2025,1,1404,72.0,0.0,1.8,1,1404,72.0,0.0,1.8,,,,,,cola_month,Private sector,2025-10-21
April 2025,6,116015,47.8,7.7,5.3,6,116015,47.8,7.7,5.3,,,,,,cola_month,Private sector,2025-10-21
May 2025,4,11083,46.3,2.9,2.8,4,11083,46.3,2.9,2.8,,,,,,cola_month,Private sector,2025-10-21
June 2025,2,1523,47.1,4.7,3.5,2,1523,47.1,4.7,3.5,,,,,,cola_month,Private sector,2025-10-21
July 2025,2,42230,48.7,7.8,2.0,2,42230,48.7,7.8,2.0,,,,,,cola_month,Private sector,2025-10-21
August 2024,3,18202,46.5,2.6,3.1,3,18202,46.5,2.6,3.1,,,,,,cola_month,Public sector,2025-10-21
September 2024,1,5000,36.0,3.5,3.0,1,5000,36.0,3.5,3.0,,,,,,cola_month,Public sector,2025-10-21
October 2024,6,37880,45.6,3.4,3.8,6,37880,45.6,3.4,3.8,,,,,,cola_month,Public sector,2025-10-21
November 2024,6,6894,38.1,3.7,3.4,6,6894,38.1,3.7,3.4,,,,,,cola_month,Public sector,2025-10-21
December 2024,8,112001,52.1,5.7,3.7,7,30328,30.8,4.7,3.9,1,81673,60.0,6.0,3.6,cola_month,Public sector,2025-10-21
January 2025,4,9786,57.5,6.1,3.3,4,9786,57.5,6.1,3.3,,,,,,cola_month,Public sector,2025-10-21
February 2025,4,10100,45.6,4.3,3.4,4,10100,45.6,4.3,3.4,,,,,,cola_month,Public sector,2025-10-21
March 2025,5,20731,46.0,3.4,3.4,5,20731,46.0,3.4,3.4,,,,,,cola_month,Public sector,2025-10-21
April 2025,7,56733,45.3,3.4,3.1,7,56733,45.3,3.4,3.1,,,,,,cola_month,Public sector,2025-10-21
